Case Description,Category
My husband refuses to divorce me despite ongoing problems.,Personal Status
Dispute over child custody after divorce.,Personal Status
Claim for child support against the father.,Personal Status
Proving paternity of a child.,Personal Status
I need legal advice to get a divorce quickly.,Personal Status
Dispute over inheritance between siblings.,Personal Status
I want to change my child's school after divorce.,Personal Status
My spouse hiding assets during divorce.,Personal Status
Contract dispute between two companies over delayed shipment.,Commercial
Tenant sues landlord for not returning security deposit.,Commercial
Customer claims defective product from online store.,Commercial
Partnership disagreement over profit distribution.,Commercial
"Invoice not paid by client for three months, need lawyer.",Commercial
Landlord increasing rent illegally.,Commercial
Company terminated my contract without cause.,Commercial
I want to register my new business and need advice.,Commercial
Dispute over unpaid freelance work.,Commercial
Car repair shop refuses to fix the issue under warranty.,Commercial
"I lost my passport abroad, what should I do?",General
Someone posted false info about me online. Can I sue?,General
"Car accident dispute, who pays for damages?",General
"Workplace harassment, what are my options?",General
"Someone stole my bike in the neighborhood, can I take legal action?",General
"My boss fired me without notice, what can I do?",General
Neighbor building wall on my property line.,General
Someone is using my copyrighted images online.,General
"I was injured in a public place, want compensation.",General
I was wrongly accused of shoplifting.,General
Client refusing to sign contract after agreement.,Commercial
"I want to adopt a child, what is the legal procedure?",Personal Status
Lost legal documents and need to recover them.,General
Dispute over shared business profits.,Commercial
Tenant damaged the property and refuses to pay.,Commercial
My spouse refuses to pay alimony.,Personal Status
Fraudulent transaction in my bank account.,General
Land dispute with neighbors over property boundary.,General
Company breached employment agreement.,Commercial
Illegal eviction by landlord.,Commercial
I need help with visa application problems.,General
I want to challenge a court decision.,General
Defamation case against a social media user.,General
Business partner hiding revenue from tax authorities.,Commercial
Custody battle over teenage child.,Personal Status
Dispute with contractor over home renovation.,Commercial
I want to create a will and need legal guidance.,Personal Status
"Online seller sent wrong product, want refund.",Commercial
Employee stole company data.,Commercial
Harassment in public transport.,General
Dividing assets after divorce.,Personal Status
Company not honoring warranty claims.,Commercial
I need to report a scam online.,General
Illegal construction in public area.,General
Dispute over inheritance from deceased parent.,Personal Status
Business conflict over trademark usage.,Commercial
Workplace discrimination case.,General
Child kidnapped by non-custodial parent.,Personal Status
Software contract violation by client.,Commercial
Vehicle accident with uninsured driver.,General
Neighbor noise complaints escalating.,General
Unauthorized use of personal images online.,General
Employee misusing company funds.,Commercial
I need advice on divorce mediation.,Personal Status
Company refusing to deliver purchased goods.,Commercial
Dispute over unpaid rent.,Commercial
Fraudulent online marketplace seller.,Commercial
Child support not being paid.,Personal Status
Landlord refusing to make necessary repairs.,Commercial
Identity theft issues.,General
Legal action against cyberbullying.,General
Inheritance dispute over family property.,Personal Status
Customer complaining about service contract.,Commercial
Employee wrongfully terminated.,Commercial
Defamation in workplace emails.,General
"Accident at work, seeking compensation.",General
Neighbor illegally cutting down trees on my property.,General
Dispute over copyright infringement.,General
Dividing joint business profits after partnership ends.,Commercial
Need advice on legal guardianship of minor.,Personal Status
Tenant refusing to pay utility bills.,Commercial
Car accident insurance dispute.,General
Online defamation case.,General
Fraudulent loan application.,General
Adoption procedure issues.,Personal Status
Dispute with supplier over contract terms.,Commercial
Employee harassment claims.,General
Property dispute with neighbors.,General
Child visitation rights dispute.,Personal Status
Business partner breach of contract.,Commercial
Illegal eviction threat.,General
Consumer complaint against retailer.,Commercial
Cybercrime report needed.,General
Dividing inheritance from family estate.,Personal Status
Contract dispute over software development.,Commercial
Harassment in workplace.,General
Accident compensation claim.,General
Landlord violating tenant rights.,Commercial
Need guidance on child custody.,Personal Status
Dispute with contractor over payment.,Commercial
Online fraud involving personal data.,General
Company breach of warranty.,Commercial
I was defamed on social media.,General
Divorce settlement negotiation.,Personal Status
Employee theft of company property.,Commercial
Car accident liability dispute.,General
Dispute over copyright of music.,General
